user_id,date,sleepduration,bedin,bedout,awakeduration,timetosleep,remduration,deepduration,stepsgaitspeed,distancegaitspeed
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-23,,,,,,,1.98,85.18,4.01
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,6.15,24.85,7.08,0.22,0.1,,3.24,92.16,4.4
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,8.72,26.62,12.4,0.53,0.08,,4.61,,
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,9.05,23.66,9.08,0.38,0.05,,2.82,102.51,4.87
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,5.96,24.14,6.52,0.47,0.1,,1.9,95.53,4.88
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,10.68,24.16,10.91,0.18,0.1,,4.96,,
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-29,6.95,24.03,7.47,0.58,0.1,,2.18,108.99,5.34
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-30,6.04,25.11,7.37,0.48,0.1,,2.22,96.88,4.6
cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-31,6.07,25.05,7.39,0.33,0.08,,3.34,,
