num,user_id,date,data_type,data_value
19888973,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-23,17,3.29
19888974,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-23,19,1.98
19888975,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-23,26,85.18
19888976,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-23,27,4.01
19888977,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,1,7321.47
19888978,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,10,6.15
19888979,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,11,24.85
19888980,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,12,7.08
19888981,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,13,2.02
19888982,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,14,0.22
19888983,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,15,0.1
19888984,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,16,0.0
19888985,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,17,2.92
19888986,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,19,3.24
19888987,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,26,92.16
19888988,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-24,27,4.4
19888989,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,1,4005.67
19888990,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,7,64.2
19888991,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,8,64.33
19888992,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,9,64.03
19888993,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,10,8.72
19888994,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,11,26.62
19888995,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,12,12.4
19888996,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,13,3.01
19888997,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,14,0.53
19888998,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,15,0.08
